X1,Y1,X2,Y2,C1,C2,Cc,Year,Month,Day,Hours,Minutes,Seconds,LaserPower
0.35,0.05,-0.35,0.05,5247,8116,1,2019,6,19,12,25,28,3706
0.35,0.1,-0.35,0.1,4746,6685,0,2019,6,19,12,25,34,3707
0.3,0.1,-0.3,0.1,7443,12378,1,2019,6,19,12,25,40,3699
0.25,0.1,-0.25,0.1,15549,24631,2,2019,6,19,12,25,46,3693
0.2,0.1,-0.2,0.1,37031,51578,11,2019,6,19,12,25,52,3699
0.15,0.1,-0.15,0.1,80586,138486,57,2019,6,19,12,25,58,3703
0.1,0.1,-0.1,0.1,123957,311001,165,2019,6,19,12,26,4,3708
0.05,0.1,-0.05,0.1,160134,418716,307,2019,6,19,12,26,10,3705
0.,0.1,0.,0.1,218937,451061,407,2019,6,19,12,26,16,3699
-0.05,0.1,0.05,0.1,235100,440529,451,2019,6,19,12,26,22,3698
-0.1,0.1,0.1,0.1,120634,299851,185,2019,6,19,12,26,28,3702
-0.15,0.1,0.15,0.1,36232,167922,29,2019,6,19,12,26,34,3707
-0.2,0.1,0.2,0.1,13259,97898,4,2019,6,19,12,26,40,3710
-0.25,0.1,0.25,0.1,7011,62024,0,2019,6,19,12,26,47,3705
-0.3,0.1,0.3,0.1,4350,29754,0,2019,6,19,12,26,53,3709
-0.35,0.1,0.35,0.1,3142,12836,0,2019,6,19,12,26,59,3713
-0.35,0.15,0.35,0.15,2858,8515,1,2019,6,19,12,27,5,3710
-0.3,0.15,0.3,0.15,3415,16199,1,2019,6,19,12,27,11,3711
-0.25,0.15,0.25,0.15,4714,35182,0,2019,6,19,12,27,17,3712
-0.2,0.15,0.2,0.15,6456,60870,3,2019,6,19,12,27,23,3715
-0.15,0.15,0.15,0.15,9619,95796,2,2019,6,19,12,27,29,3720
-0.1,0.15,0.1,0.15,16622,138325,4,2019,6,19,12,27,35,3718
-0.05,0.15,0.05,0.15,25002,178169,16,2019,6,19,12,27,41,3714
0.,0.15,0.,0.15,28964,190251,22,2019,6,19,12,27,47,3709
0.05,0.15,-0.05,0.15,27437,174283,11,2019,6,19,12,27,53,3710
0.1,0.15,-0.1,0.15,28117,127340,11,2019,6,19,12,27,59,3713
0.15,0.15,-0.15,0.15,26400,67016,2,2019,6,19,12,28,5,3711
0.2,0.15,-0.2,0.15,18724,31834,1,2019,6,19,12,28,11,3713
0.25,0.15,-0.25,0.15,10452,16307,3,2019,6,19,12,28,17,3715
0.3,0.15,-0.3,0.15,6332,9610,1,2019,6,19,12,28,24,3719
0.35,0.15,-0.35,0.15,4515,5543,0,2019,6,19,12,28,30,3718
0.35,0.2,-0.35,0.2,4882,4933,1,2019,6,19,12,28,36,3718
0.3,0.2,-0.3,0.2,5409,7474,0,2019,6,19,12,28,42,3717
0.25,0.2,-0.25,0.2,7312,12536,2,2019,6,19,12,28,48,3719
0.2,0.2,-0.2,0.2,9938,22048,2,2019,6,19,12,28,54,3719
0.15,0.2,-0.15,0.2,12312,43581,1,2019,6,19,12,29,0,3716
0.1,0.2,-0.1,0.2,12945,75737,3,2019,6,19,12,29,6,3721
0.05,0.2,-0.05,0.2,13002,100605,4,2019,6,19,12,29,12,3718
0.,0.2,0.,0.2,12519,108248,4,2019,6,19,12,29,18,3711
-0.05,0.2,0.05,0.2,10333,101320,5,2019,6,19,12,29,24,3703
-0.1,0.2,0.1,0.2,7662,77061,2,2019,6,19,12,29,30,3708
-0.15,0.2,0.15,0.2,5818,53450,1,2019,6,19,12,29,36,3711
-0.2,0.2,0.2,0.2,4346,30683,0,2019,6,19,12,29,43,3711
-0.25,0.2,0.25,0.2,3454,16627,0,2019,6,19,12,29,49,3706
-0.3,0.2,0.3,0.2,2727,9687,0,2019,6,19,12,29,55,3699
-0.35,0.2,0.35,0.2,2405,6152,0,2019,6,19,12,30,1,3706
-0.35,0.25,0.35,0.25,2014,5149,0,2019,6,19,12,30,7,3706
-0.3,0.25,0.3,0.25,2167,7098,0,2019,6,19,12,30,13,3710
-0.25,0.25,0.25,0.25,2626,10313,0,2019,6,19,12,30,19,3704
-0.2,0.25,0.2,0.25,3242,17360,0,2019,6,19,12,30,25,3707
-0.15,0.25,0.15,0.25,4758,30959,3,2019,6,19,12,30,31,3712
-0.1,0.25,0.1,0.25,7030,46736,2,2019,6,19,12,30,37,3712
-0.05,0.25,0.05,0.25,9097,63301,2,2019,6,19,12,30,43,3706
0.,0.25,0.,0.25,11492,69623,1,2019,6,19,12,30,49,3703
0.05,0.25,-0.05,0.25,12461,66391,4,2019,6,19,12,30,55,3709
0.1,0.25,-0.1,0.25,10328,50918,3,2019,6,19,12,31,1,3715
0.15,0.25,-0.15,0.25,8732,30507,2,2019,6,19,12,31,7,3711
0.2,0.25,-0.2,0.25,7340,16108,2,2019,6,19,12,31,14,3706
0.25,0.25,-0.25,0.25,5690,9335,0,2019,6,19,12,31,20,3710
0.3,0.25,-0.3,0.25,4612,6009,0,2019,6,19,12,31,26,3711
0.35,0.25,-0.35,0.25,4150,4080,0,2019,6,19,12,31,32,3715
